Stat,Importance
AVG+_1,0.06327114578089360
K%+,0.0626861074695877
LD%+,0.056370185653806100
ERA-,0.05595563859993850
HR/9+,0.05356640203878020
LOB%+,0.052194896312831400
wRC+,0.048451576997980900
LD+%,0.0470362741364415
BABIP+_1,0.04638007410055970
ISO+,0.0463540370942248
xFIP-,0.04354090073214050
WAR,0.04184320636006270
SLG+,0.04150101793197810
WHIP+,0.03988011444957430
K/BB+,0.03721565976460100
BB%+_1,0.035128628149119900
AVG+,0.0345672709407843
OBP+,0.03414976138841540
BABIP+,0.033767293437324400
K%+_1,0.027859855680585100
FIP-,0.02584524778367220
BB/9+,0.024547123939689200
BB%+,0.02402057457812130
K/9+,0.023867006678887000
