Team,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,WAR,ERA-,FIP-,xFIP-,K/9+,BB/9+,K/BB+,HR/9+,AVG+_1,WHIP+,BABIP+_1,LOB%+,K%+_1,BB%+_1,LD%+,WonWS
STL,103.68885513828400,100.32444574062600,106.91294480057200,99.39918595101690,101.77762656979600,99.87186356341620,99.08627381262640,101.02647435424300,110.44736554652400,5.35317275174138,82.1055729329415,95.811920713643,94.4098510071814,96.7354008564192,90.4573458733582,106.711353901105,83.6141756625937,95.3304783786775,93.0034270468286,95.5748579909888,104.915144745814,98.6695174810113,92.2659417663268,94.8988397142746,0
TBR,112.33046793769400,100.7069272361430,115.74261406767200,113.57173787415600,103.59045978838800,103.194850466553,107.59197809569700,104.7747673880530,103.04456221384600,6.58868226815242,87.5165412201806,99.9973706857656,95.6925619551169,104.69783353222,92.7494128638664,112.882481083599,103.961046401882,94.2968189844787,92.5548582261129,94.6485785652624,106.904355158846,107.345435018931,95.09485265707,105.369660324291,0
SFG,102.54122582484800,101.03712820758300,96.05311598291580,90.44154594915310,100.03809231902200,99.082487673746,95.68963296760790,99.58110378615450,101.66996860477900,7.82500308634684,86.0222333654989,97.0623920407644,102.958668529355,105.54097070544,116.168468092054,90.8516503932631,76.5449211648392,88.6942074466976,93.6262552017849,91.6312780615859,105.820385503491,108.163869284907,119.055483351146,93.8789102080811,1
CHC,93.17921914659460,98.8908809907995,95.16408426963670,101.59395494234900,98.29099002965310,97.63881134963680,95.46547548511740,99.42794399543180,109.18758861318900,6.98685534672184,97.3934933206074,97.9635612941187,99.4178423615044,104.708724962832,99.2942144684324,105.452996761932,101.025428814346,96.5797301509809,97.3968378534405,97.3377755232414,97.2743874021535,104.457785078514,99.056252876623,102.728022196534,0
MIN,107.01503797644100,103.60556394662300,121.14623091272800,85.28620940009030,105.69422904250900,101.71848548238000,98.38330236247220,101.58008453468600,107.4779621732770,8.36118879865077,88.9439104304116,89.8812800179138,93.7525962068032,93.8582871056342,65.2524064316199,143.838820103739,90.3047233141672,104.192942367208,94.1240026796313,103.884543316911,103.369615005975,96.6378287831369,67.1847997405438,106.945227308171,0
SEA,86.41160128279580,92.90790885536250,104.90067467173000,104.43603951363400,95.28714642519120,85.26639563713170,71.7609115141244,96.53918362413110,98.87730216434900,5.94316863379689,108.135121214038,104.108190390129,103.054468033325,90.6533725066274,91.3533715454129,99.2337504563781,99.8104864394206,100.523925935132,99.4176736342133,98.0568623815726,96.557081055592,89.9883706493781,90.6832256770601,103.827990374466,0
TOR,102.53644973018900,92.0533169682875,99.30989547816760,121.99921094295800,93.84858748065940,110.76631891729800,143.83940149771600,90.6268145759499,97.35335499525370,7.2465173711671,104.222031289592,91.8401474331433,94.1667681026445,112.795468331376,109.846354451759,102.684767432535,83.8039076815818,97.6579593688186,99.6630046057221,102.476835772794,97.5202496176996,113.52521329182,110.557008540047,100.291996148005,0
FLA,96.4791617226658,99.67941672014120,95.27187886500800,111.74672380577100,99.09618777250630,98.84662229960370,97.4010621466994,103.20580409691000,96.69277708187610,6.8619662936613,98.1904517473979,97.2499471320515,103.392519254288,96.4067540047156,105.959752360213,90.9843140151686,76.6448787636979,99.4335306193132,100.944597508763,100.389785213352,98.2460505766029,96.0928270861393,105.614720434516,99.5601296204732,0
LAA,101.88935601265900,98.96300708963110,91.94452180870150,101.72384429653400,97.85385682408820,100.4867001116380,103.17966185017800,98.74450980781040,101.35979171613700,4.13121717851919,113.974000254366,105.088958241766,102.272068251203,106.564130779247,119.44513900135,89.2159669807494,100.153367496892,103.181360402478,108.704555476771,105.003102888357,97.5058897927363,103.433488452066,115.936066431425,103.612362698176,0
NYY,120.2633056458420,107.6788740844790,125.79402359879400,94.72585083880290,111.58019734310200,109.85160908460900,113.69167856420000,106.60965869919500,107.64707433353200,8.02517248688398,89.4169048888763,94.2449075632002,94.9001860189026,107.547590761152,94.7803001293556,112.483711453118,105.172707460872,94.1501180350305,92.4368130765178,95.2167874975149,102.661498503741,110.691385865481,97.5508760345554,96.9183394463013,0
OAK,96.11914403225480,101.00109033878100,91.72910816582830,105.90030239802100,98.90135779809280,94.35909744502150,82.62015106586930,105.09062584537200,108.2249898632180,5.2670407216586,99.5359495505147,102.812057038117,98.4573612292085,98.4990230120134,99.7128440879308,95.3997191836042,104.274822262613,97.9678686144201,97.7904134222851,97.0959726241341,100.305972639536,99.7739805483927,101.003502900215,101.433495045181,0
SDP,91.5900990780119,94.08006580830700,99.74191900620620,107.57892635657000,95.9270684102738,88.99261449053930,80.16184338611870,97.8228059213371,98.88511824197180,8.010206328838,81.6726992424406,91.208372327707,89.8930400742961,104.807474002049,91.3154801225268,114.775144000609,80.693828451237,90.576557935537,88.1963054377318,93.1825010708478,108.367320484879,109.93345892144,95.7815929359102,99.8626925406919,0
BOS,117.33315841596300,106.23527068125600,117.33506617199600,96.09644617150470,107.3608489457550,113.92764578785900,127.52304257572500,103.88557120738400,105.53080686467800,5.49406913920941,99.9034328692648,103.236124661855,104.537881641446,99.1649121493166,114.67069362324,86.2862478594517,94.3452462354487,96.9956183656555,101.070215129141,97.0681133383221,97.5950307358907,98.8592585956908,114.317235260972,101.718299416414,0
